epoch,pages,accesses,mean_unique_words,p_le_4,p_le_8,p_le_16,p_le_32,p_le_48
332,203361,10000000,19.093523,0.577161,0.659743,0.702421,0.727780,0.742773
333,209653,10000000,18.271930,0.581575,0.672683,0.718778,0.745775,0.759388
334,209196,10000000,18.081765,0.581383,0.672647,0.718097,0.745492,0.762194
335,215117,10000000,17.756449,0.584157,0.679100,0.727204,0.755012,0.768368
336,207527,10000000,18.666530,0.576792,0.662184,0.706347,0.732584,0.752138
337,201337,10000000,18.668541,0.585019,0.669355,0.711528,0.738081,0.752996
338,193321,10000000,25.257494,0.499459,0.562976,0.601212,0.624361,0.636630
339,137700,10000000,63.991118,0.000087,0.000116,0.000131,0.000138,0.000160
340,109902,10000001,63.987316,0.000118,0.000146,0.000164,0.000237,0.000246
341,418800,10000000,13.619002,0.553799,0.775437,0.829198,0.839236,0.842125
342,513265,10000000,12.619302,0.370469,0.518035,0.805555,0.906804,0.922878
343,523030,10000000,12.743864,0.361385,0.500463,0.769008,0.911940,0.937191
344,520966,10000000,12.651939,0.365245,0.504883,0.770563,0.915062,0.936121
345,514693,10000000,12.433604,0.372585,0.516531,0.793049,0.916649,0.929919
346,522975,10000000,12.628992,0.366387,0.505089,0.769966,0.917417,0.936940
347,526413,10000000,12.777293,0.362180,0.500206,0.750641,0.917496,0.940746
348,525826,10000000,12.621894,0.364497,0.501542,0.758937,0.918262,0.945035
349,525559,10000000,12.584633,0.365360,0.502050,0.753550,0.920312,0.946333
